Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 05:00:21,0.61,0.18,0.06
2025-06-29 05:01:21,0.6,0.22,0.06
2025-06-29 05:02:22,0.59,0.2,0.07
2025-06-29 05:03:22,0.59,0.18,0.06
2025-06-29 05:04:23,0.59,0.18,0.06
2025-06-29 05:05:23,0.61,0.18,0.06
2025-06-29 05:06:24,0.59,0.19,0.06
2025-06-29 05:07:24,0.6,0.19,0.06
2025-06-29 05:08:25,0.61,0.12,0.06
2025-06-29 05:09:25,0.61,0.17,0.06
2025-06-29 05:10:26,0.59,0.22,0.06
2025-06-29 05:11:26,0.61,0.12,0.06
2025-06-29 05:12:27,0.59,0.19,0.06
2025-06-29 05:13:27,0.6,0.12,0.06
2025-06-29 05:14:28,0.6,0.24,0.06
2025-06-29 05:15:28,0.61,0.12,0.06
2025-06-29 05:16:29,0.61,0.17,0.06
2025-06-29 05:17:30,0.59,0.19,0.07
2025-06-29 05:18:30,0.6,0.22,0.06
2025-06-29 05:19:31,0.6,0.13,0.06
2025-06-29 05:20:31,0.62,0.16,0.06
2025-06-29 05:21:32,0.59,0.18,0.06
2025-06-29 05:22:32,0.62,0.16,0.06
2025-06-29 05:23:33,0.59,0.19,0.06
2025-06-29 05:24:33,0.63,0.16,0.06
2025-06-29 05:25:34,0.61,0.17,0.06
2025-06-29 05:26:34,0.58,0.19,0.06
2025-06-29 05:27:35,0.61,0.17,0.06
2025-06-29 05:28:35,0.61,0.15,0.06
2025-06-29 05:29:36,0.6,0.19,0.06
2025-06-29 05:30:36,0.6,0.12,0.06
2025-06-29 05:31:37,0.61,0.15,0.06
2025-06-29 05:32:37,0.61,0.12,0.06
2025-06-29 05:33:38,0.6,0.15,0.06
2025-06-29 05:34:38,0.61,0.17,0.06
2025-06-29 05:35:39,0.63,0.17,0.06
2025-06-29 05:36:39,0.58,0.2,0.06
2025-06-29 05:37:40,0.6,0.13,0.06
2025-06-29 05:38:40,0.62,0.17,0.06
2025-06-29 05:39:41,0.61,0.12,0.06
2025-06-29 05:40:42,0.61,0.17,0.06
2025-06-29 05:41:42,0.61,0.22,0.06
2025-06-29 05:42:43,0.63,0.16,0.06
2025-06-29 05:43:43,0.61,0.12,0.06
2025-06-29 05:44:44,0.58,0.19,0.06
2025-06-29 05:45:44,0.6,0.14,0.06
2025-06-29 05:46:36,0.61,0.12,0.06
2025-06-29 05:47:37,0.61,0.12,0.06
2025-06-29 05:48:37,0.59,0.19,0.06
2025-06-29 05:49:38,0.62,0.16,0.06
2025-06-29 05:50:38,0.59,0.22,0.06
2025-06-29 05:51:39,0.62,0.16,0.06
2025-06-29 05:52:39,0.61,0.15,0.06
2025-06-29 05:53:40,0.59,0.2,0.06
2025-06-29 05:54:40,0.59,0.2,0.06
2025-06-29 05:55:41,0.62,0.16,0.06
2025-06-29 05:56:41,0.59,0.19,0.06
2025-06-29 05:57:42,0.6,0.13,0.06
2025-06-29 05:58:42,0.58,0.2,0.06
2025-06-29 05:59:43,0.6,0.2,0.06
2025-06-29 06:00:43,0.61,0.12,0.06
2025-06-29 06:01:44,0.61,0.12,0.06
